"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","review_count.1","hours.time"
"2",4,13,TRUE,"YES",TRUE,"loud",13,101.5
"4",4,91,TRUE,"YES",FALSE,"quiet",91,45
"5",3.5,85,TRUE,"YES",TRUE,"average",85,44
"6",3.5,22,FALSE,"YES",TRUE,"average",22,75
"7",4,92,TRUE,"YES",TRUE,"average",92,69
"8",3.5,45,TRUE,"YES",FALSE,"average",45,54
"9",4.5,65,TRUE,"YES",FALSE,"average",65,74
"10",4,24,TRUE,"YES",TRUE,"very_loud",24,47.5
"13",4,9,TRUE,"NO",TRUE,"average",9,44
"14",3.5,49,TRUE,"YES",FALSE,"quiet",49,35
"15",4.5,16,TRUE,"YES",TRUE,"average",16,59
"16",3,68,TRUE,"YES",TRUE,"average",68,114
"21",3.5,57,TRUE,"YES",TRUE,"average",57,74
"24",3.5,25,FALSE,"YES",TRUE,"average",25,82
"25",4.5,61,TRUE,"YES",TRUE,"quiet",61,72
"28",4,29,TRUE,"NO",TRUE,"average",29,121
"29",3.5,49,TRUE,"YES",FALSE,"average",49,57.5
"30",3,243,TRUE,"YES",FALSE,"average",243,78
"31",3,133,TRUE,"YES",FALSE,"average",133,50
"34",3,7,FALSE,"NO",TRUE,"average",7,83
"35",5,5,TRUE,"YES",TRUE,"average",5,45
"38",4,98,TRUE,"YES",TRUE,"quiet",98,168
"39",3,41,TRUE,"YES",TRUE,"average",41,68
"42",3.5,109,FALSE,"YES",TRUE,"quiet",109,48
"45",4.5,3,TRUE,"NO",TRUE,"average",3,108.5
"46",3.5,158,TRUE,"YES",TRUE,"average",158,63.5
"48",4,36,FALSE,"YES",TRUE,"average",36,27
"50",3,35,FALSE,"YES",FALSE,"average",35,107.5
"51",4.5,55,TRUE,"YES",TRUE,"average",55,96
"53",4,121,TRUE,"YES",TRUE,"loud",121,88
"54",3,23,TRUE,"YES",TRUE,"quiet",23,52
"55",3.5,6,FALSE,"YES",TRUE,"very_loud",6,81
"56",3.5,287,TRUE,"YES",TRUE,"average",287,75.5
"59",3,83,FALSE,"YES",TRUE,"average",83,81
"65",3.5,115,TRUE,"YES",TRUE,"average",115,73
"67",4,35,TRUE,"NO",TRUE,"loud",35,62
"68",4.5,287,TRUE,"YES",TRUE,"average",287,31.5
"69",4,560,TRUE,"YES",TRUE,"loud",560,85
"71",2.5,114,FALSE,"YES",TRUE,"average",114,78
"74",4.5,90,TRUE,"YES",TRUE,"average",90,108.5
"75",4,56,TRUE,"YES",TRUE,"very_loud",56,67
"76",3,96,TRUE,"YES",TRUE,"average",96,76
"82",3.5,82,TRUE,"YES",TRUE,"average",82,105
"83",3,37,TRUE,"NO",TRUE,"loud",37,76
"84",3.5,210,TRUE,"YES",TRUE,"average",210,75
"85",4,87,TRUE,"YES",TRUE,"quiet",87,57
"86",3,172,TRUE,"YES",TRUE,"average",172,68.5
"89",3.5,266,TRUE,"YES",TRUE,"average",266,93
"93",3.5,180,TRUE,"NO",TRUE,"average",180,79
"94",3.5,85,FALSE,"YES",TRUE,"average",85,79
"96",2.5,88,FALSE,"YES",TRUE,"loud",88,95
"98",3.5,112,FALSE,"YES",TRUE,"loud",112,105
"104",3.5,28,TRUE,"YES",TRUE,"loud",28,66
"106",4,718,TRUE,"YES",TRUE,"average",718,75
"107",3.5,220,FALSE,"YES",TRUE,"average",220,86
"108",4.5,831,TRUE,"YES",TRUE,"average",831,77
"110",4,264,FALSE,"YES",TRUE,"average",264,75.5
"112",4,426,TRUE,"YES",FALSE,"average",426,75
"116",3,33,TRUE,"YES",TRUE,"average",33,104.5
"118",3,309,TRUE,"YES",TRUE,"average",309,105
"121",3,23,FALSE,"NO",TRUE,"average",23,105
"124",3.5,26,TRUE,"YES",TRUE,"average",26,81
"125",3.5,10,TRUE,"NO",TRUE,"average",10,114.5
"126",3.5,110,TRUE,"YES",TRUE,"average",110,84
"127",4.5,111,TRUE,"YES",TRUE,"average",111,83
"128",4,98,FALSE,"YES",TRUE,"average",98,98
"130",4,61,TRUE,"YES",TRUE,"average",61,106
"131",4,42,FALSE,"YES",FALSE,"quiet",42,77.5
"134",3.5,113,TRUE,"YES",TRUE,"average",113,74.5
"136",4,153,TRUE,"YES",TRUE,"average",153,38
"137",5,10,TRUE,"YES",TRUE,"quiet",10,60
"145",4,387,TRUE,"YES",TRUE,"loud",387,91
"147",4,109,TRUE,"YES",TRUE,"average",109,89
"148",5,32,TRUE,"YES",TRUE,"average",32,51.5
"151",4,96,TRUE,"YES",TRUE,"average",96,85
"152",3.5,47,TRUE,"YES",TRUE,"average",47,60
"154",4,120,FALSE,"YES",TRUE,"quiet",120,83
"155",3.5,135,TRUE,"YES",TRUE,"average",135,65
"156",3,372,TRUE,"YES",TRUE,"loud",372,90
"157",3.5,50,TRUE,"YES",TRUE,"very_loud",50,21
"158",4,3,TRUE,"YES",TRUE,"average",3,52
"159",3,173,TRUE,"YES",TRUE,"average",173,92
"160",4,182,TRUE,"YES",TRUE,"average",182,74
"165",3,62,TRUE,"YES",TRUE,"average",62,92
"168",4,71,FALSE,"YES",TRUE,"average",71,53
"171",4.5,42,TRUE,"YES",FALSE,"average",42,79
"172",3.5,175,TRUE,"YES",TRUE,"loud",175,109
"173",4.5,121,FALSE,"YES",TRUE,"average",121,101.5
"174",3,216,TRUE,"YES",TRUE,"very_loud",216,105
"175",4,4,TRUE,"YES",TRUE,"quiet",4,106
"176",3,94,TRUE,"YES",TRUE,"average",94,78
"180",4,392,TRUE,"YES",FALSE,"average",392,39
"182",4,43,TRUE,"YES",FALSE,"average",43,26
"183",4,126,TRUE,"YES",FALSE,"average",126,86
"186",2.5,36,TRUE,"YES",TRUE,"average",36,91
"189",3,71,TRUE,"YES",TRUE,"average",71,73.5
"190",3.5,172,TRUE,"YES",TRUE,"average",172,93
"191",2.5,37,FALSE,"YES",TRUE,"loud",37,108.5
"196",3,267,TRUE,"YES",TRUE,"average",267,116
"199",4.5,125,TRUE,"YES",TRUE,"average",125,54
"204",2.5,90,TRUE,"YES",TRUE,"average",90,84
"205",3.5,58,TRUE,"YES",TRUE,"loud",58,122.5
"206",4,280,TRUE,"YES",TRUE,"average",280,46
"209",4,11,TRUE,"YES",TRUE,"loud",11,70
"211",4,19,FALSE,"YES",TRUE,"average",19,22
"212",4.5,402,TRUE,"YES",FALSE,"average",402,53
"215",4,86,FALSE,"YES",TRUE,"average",86,111
"216",3.5,30,TRUE,"NO",TRUE,"loud",30,98
"217",2.5,47,TRUE,"NO",TRUE,"very_loud",47,88
"219",4.5,55,FALSE,"YES",TRUE,"average",55,72
"220",3,10,TRUE,"YES",TRUE,"loud",10,108
"221",2.5,28,TRUE,"YES",TRUE,"very_loud",28,100
"222",3,25,FALSE,"YES",TRUE,"average",25,105.5
"223",4.5,32,TRUE,"YES",TRUE,"average",32,95
"226",3.5,22,TRUE,"YES",TRUE,"loud",22,78
"227",3,27,TRUE,"YES",TRUE,"average",27,116
"228",2.5,9,TRUE,"NO",TRUE,"very_loud",9,101
"229",4,70,TRUE,"YES",TRUE,"average",70,99
"230",4.5,124,TRUE,"YES",TRUE,"average",124,46
"236",3,12,FALSE,"YES",TRUE,"loud",12,105
"240",4,227,TRUE,"YES",TRUE,"loud",227,110
"242",3,79,FALSE,"NO",TRUE,"loud",79,77
"245",3,239,TRUE,"YES",TRUE,"average",239,91
"246",3.5,16,FALSE,"NO",TRUE,"average",16,86
"247",3.5,10,TRUE,"NO",TRUE,"loud",10,87
"248",4,120,TRUE,"YES",TRUE,"average",120,21
"251",3.5,83,TRUE,"YES",TRUE,"average",83,78.5
"256",4,26,TRUE,"YES",TRUE,"average",26,97
"258",4,57,FALSE,"YES",TRUE,"average",57,56.5
"259",3,25,TRUE,"NO",TRUE,"average",25,73
"261",3.5,44,FALSE,"YES",TRUE,"average",44,63
"262",3.5,48,TRUE,"YES",TRUE,"average",48,106
"263",4,481,TRUE,"YES",TRUE,"average",481,79
"265",3.5,318,TRUE,"YES",TRUE,"average",318,103
"266",3.5,124,TRUE,"YES",FALSE,"average",124,57
"267",3,4,FALSE,"NO",TRUE,"quiet",4,77
"268",4,45,TRUE,"YES",TRUE,"average",45,99
"269",4,129,TRUE,"YES",TRUE,"average",129,106
"270",4.5,134,TRUE,"YES",TRUE,"average",134,48
"271",4.5,5,FALSE,"NO",TRUE,"average",5,92
"272",4,41,TRUE,"NO",TRUE,"quiet",41,75.25
"273",3,20,TRUE,"YES",TRUE,"average",20,79
"276",2,47,TRUE,"YES",TRUE,"quiet",47,92
"277",2,113,TRUE,"YES",TRUE,"loud",113,92
"278",3,3,TRUE,"NO",TRUE,"average",3,98
"283",3.5,113,TRUE,"YES",TRUE,"average",113,87
"285",3,36,FALSE,"NO",TRUE,"average",36,112
"286",3,6,TRUE,"YES",TRUE,"average",6,41
"288",4,18,TRUE,"YES",TRUE,"quiet",18,71.5
"291",3.5,25,FALSE,"NO",TRUE,"average",25,91
"292",3.5,60,TRUE,"YES",TRUE,"average",60,68
"293",4,264,TRUE,"YES",TRUE,"average",264,79
"296",4,15,TRUE,"NO",TRUE,"average",15,102
"298",4,28,TRUE,"YES",TRUE,"average",28,44.5
"299",3,44,TRUE,"YES",TRUE,"average",44,71
"300",3.5,96,TRUE,"YES",FALSE,"average",96,32
"301",4.5,90,TRUE,"YES",FALSE,"average",90,35
"305",3.5,57,TRUE,"YES",TRUE,"average",57,108.5
"309",3,149,TRUE,"YES",TRUE,"average",149,39
"311",3.5,85,TRUE,"YES",TRUE,"average",85,68.5
"313",4,135,TRUE,"YES",TRUE,"quiet",135,76
"316",4,151,FALSE,"YES",FALSE,"quiet",151,63
"317",4.5,97,TRUE,"YES",TRUE,"quiet",97,67
"321",3.5,127,TRUE,"NO",FALSE,"average",127,51
"323",3.5,348,TRUE,"YES",TRUE,"loud",348,48.5
"324",3.5,73,TRUE,"YES",TRUE,"loud",73,85
"326",4,86,TRUE,"YES",TRUE,"average",86,62
"332",3.5,149,TRUE,"YES",TRUE,"average",149,33
"333",2.5,60,FALSE,"YES",TRUE,"average",60,98
"334",3,41,TRUE,"YES",TRUE,"average",41,93
"335",3.5,54,TRUE,"YES",TRUE,"average",54,58
"337",2,122,FALSE,"YES",TRUE,"average",122,65.5
"340",2.5,34,TRUE,"YES",TRUE,"very_loud",34,42
"341",3.5,197,TRUE,"YES",TRUE,"average",197,84
"344",3,32,TRUE,"NO",TRUE,"average",32,91
"349",3.5,4,TRUE,"YES",TRUE,"average",4,57
"350",3.5,37,FALSE,"YES",TRUE,"average",37,74
"353",3.5,10,TRUE,"YES",TRUE,"average",10,107.5
"356",4,201,FALSE,"YES",FALSE,"average",201,109.5
"357",3,10,TRUE,"NO",TRUE,"average",10,101.5
"358",4,233,TRUE,"YES",TRUE,"average",233,100
"360",3.5,4,TRUE,"NO",FALSE,"average",4,36
"361",3,21,TRUE,"YES",TRUE,"quiet",21,95.5
"363",3,79,FALSE,"YES",TRUE,"average",79,105
"364",3.5,151,TRUE,"YES",FALSE,"average",151,72.5
"365",3,307,TRUE,"YES",TRUE,"average",307,168
"366",4,121,TRUE,"YES",TRUE,"average",121,90
"372",4,25,FALSE,"YES",TRUE,"average",25,105
"373",3.5,77,TRUE,"YES",TRUE,"average",77,107
"376",2.5,15,TRUE,"YES",TRUE,"very_loud",15,86.5
"377",4,105,FALSE,"YES",TRUE,"average",105,59
"381",2.5,45,TRUE,"YES",TRUE,"average",45,79.5
"382",4,332,TRUE,"YES",TRUE,"average",332,108
"383",2.5,42,TRUE,"YES",TRUE,"average",42,96
"386",3,37,FALSE,"NO",TRUE,"quiet",37,76
"387",4,417,TRUE,"YES",TRUE,"average",417,67
"388",3.5,14,TRUE,"NO",TRUE,"average",14,107
"390",4,213,TRUE,"YES",TRUE,"average",213,82
"393",3,29,FALSE,"NO",TRUE,"average",29,79
"395",4.5,66,TRUE,"NO",TRUE,"quiet",66,62
"398",4.5,49,TRUE,"YES",FALSE,"quiet",49,61.25
"399",4.5,473,TRUE,"YES",TRUE,"average",473,28
"400",3,61,TRUE,"YES",TRUE,"average",61,79
"402",2,8,TRUE,"NO",TRUE,"average",8,107.5
"405",2.5,35,FALSE,"YES",TRUE,"loud",35,90
"406",4,11,TRUE,"YES",TRUE,"loud",11,93
"407",4,13,TRUE,"YES",TRUE,"loud",13,63
"411",3,13,TRUE,"NO",TRUE,"average",13,105
"413",4.5,80,TRUE,"YES",FALSE,"average",80,45
"414",3.5,207,TRUE,"YES",TRUE,"average",207,86
"415",4,64,FALSE,"YES",TRUE,"average",64,89
"416",3,18,TRUE,"YES",TRUE,"average",18,108.5
"419",2,44,TRUE,"YES",TRUE,"average",44,86
"420",3.5,69,TRUE,"YES",TRUE,"average",69,68
"421",3.5,167,TRUE,"YES",TRUE,"average",167,52
"422",4,96,TRUE,"YES",TRUE,"average",96,95
"423",3,8,TRUE,"NO",TRUE,"average",8,105
"424",2.5,208,TRUE,"YES",TRUE,"loud",208,101.433333333333
"426",4,293,TRUE,"YES",FALSE,"average",293,76
"427",3,82,TRUE,"YES",TRUE,"average",82,53
"429",3,118,TRUE,"YES",TRUE,"average",118,59
"430",3.5,61,TRUE,"YES",TRUE,"average",61,98
"432",4.5,18,FALSE,"YES",TRUE,"loud",18,104
"435",2.5,32,TRUE,"NO",TRUE,"very_loud",32,49
"437",4,136,TRUE,"YES",FALSE,"average",136,77
"438",3,7,TRUE,"YES",TRUE,"average",7,96.5
"440",4,90,TRUE,"NO",TRUE,"average",90,51.5
"442",4,78,FALSE,"YES",TRUE,"average",78,73.5
"444",3,58,FALSE,"YES",TRUE,"average",58,92
"445",3,60,FALSE,"YES",TRUE,"quiet",60,92
"446",3.5,38,TRUE,"YES",TRUE,"average",38,89
"448",3.5,57,FALSE,"NO",TRUE,"loud",57,103.5
"449",4,215,TRUE,"YES",FALSE,"average",215,55
"450",4,537,TRUE,"YES",FALSE,"average",537,56
"452",4,166,TRUE,"YES",TRUE,"average",166,91
"454",3,78,TRUE,"NO",TRUE,"average",78,108.5
"455",3.5,62,FALSE,"YES",TRUE,"quiet",62,76.5
"458",3,575,TRUE,"YES",TRUE,"average",575,89
"460",3,377,TRUE,"YES",TRUE,"average",377,77
"461",3.5,274,TRUE,"YES",TRUE,"average",274,68
"464",3,49,TRUE,"YES",TRUE,"average",49,75.5
"465",3,39,TRUE,"YES",TRUE,"average",39,112
"468",3.5,35,TRUE,"NO",TRUE,"average",35,115.5
"469",4,47,FALSE,"YES",TRUE,"average",47,84.5
"473",4.5,65,FALSE,"YES",FALSE,"average",65,44
"474",3,10,FALSE,"YES",TRUE,"average",10,105
"476",3.5,92,TRUE,"YES",TRUE,"average",92,34.5
"477",3,49,TRUE,"YES",TRUE,"loud",49,83.5
"480",3.5,9,FALSE,"YES",FALSE,"average",9,25
"482",3,40,TRUE,"YES",TRUE,"average",40,92
"483",3,494,TRUE,"YES",TRUE,"average",494,105
"487",3.5,39,FALSE,"YES",TRUE,"loud",39,105
"488",2,27,TRUE,"NO",TRUE,"loud",27,100
"489",3,28,TRUE,"YES",TRUE,"average",28,105
"494",4,46,TRUE,"YES",FALSE,"average",46,77
"495",3,15,TRUE,"NO",TRUE,"loud",15,45
"497",3,12,TRUE,"NO",FALSE,"average",12,34
"499",4.5,43,TRUE,"YES",TRUE,"average",43,44
"500",4,170,TRUE,"YES",TRUE,"average",170,67
"503",2,49,TRUE,"YES",TRUE,"quiet",49,93
"505",3.5,158,TRUE,"YES",TRUE,"average",158,95
"506",3.5,134,TRUE,"YES",TRUE,"average",134,82
"509",4.5,23,FALSE,"YES",FALSE,"average",23,63
"512",3,73,FALSE,"YES",FALSE,"average",73,75
"513",2.5,34,FALSE,"YES",TRUE,"average",34,108.5
"515",3,164,TRUE,"YES",TRUE,"average",164,52.5
"517",4,152,TRUE,"YES",FALSE,"average",152,24.5
"518",4.5,25,FALSE,"NO",TRUE,"average",25,69.5
"521",3,101,TRUE,"YES",TRUE,"loud",101,105
"523",4,123,TRUE,"YES",TRUE,"average",123,74
"524",3,128,TRUE,"YES",TRUE,"average",128,49.5
"525",3.5,1129,TRUE,"YES",TRUE,"average",1129,80.5
"527",4.5,21,FALSE,"YES",TRUE,"average",21,35
"528",4,86,TRUE,"YES",TRUE,"loud",86,91
"530",3.5,64,FALSE,"YES",FALSE,"average",64,24
"531",4,85,FALSE,"NO",TRUE,"average",85,46
"534",3,5,FALSE,"NO",TRUE,"average",5,38
"535",3,69,TRUE,"YES",TRUE,"average",69,118.5
"537",3.5,84,FALSE,"YES",TRUE,"loud",84,95
"539",3.5,77,TRUE,"YES",TRUE,"average",77,64
"542",3.5,61,TRUE,"YES",TRUE,"quiet",61,69.5
"543",4,248,TRUE,"YES",TRUE,"average",248,53
"545",3,167,TRUE,"YES",TRUE,"average",167,93
"547",3.5,18,FALSE,"NO",TRUE,"average",18,104.5
"549",4.5,3,FALSE,"NO",TRUE,"average",3,103
"550",2.5,8,TRUE,"YES",TRUE,"average",8,37
"551",3.5,60,TRUE,"YES",TRUE,"average",60,59.5
"554",4.5,18,TRUE,"NO",TRUE,"loud",18,71.5
"555",2.5,38,TRUE,"NO",TRUE,"average",38,88
"557",4,132,FALSE,"YES",TRUE,"average",132,69
"558",4.5,10,TRUE,"YES",TRUE,"average",10,37
"560",3,33,TRUE,"YES",TRUE,"average",33,86.5
"561",4,155,TRUE,"YES",TRUE,"average",155,76
"563",4,116,FALSE,"NO",TRUE,"quiet",116,54.5
"564",3,42,TRUE,"YES",TRUE,"average",42,98
"565",3.5,105,TRUE,"YES",TRUE,"average",105,36
"566",3.5,6,TRUE,"NO",TRUE,"average",6,126
"567",3.5,45,FALSE,"YES",FALSE,"very_loud",45,88
"568",4,5,FALSE,"NO",TRUE,"loud",5,62
"569",4.5,110,TRUE,"YES",FALSE,"average",110,80
"570",4.5,258,TRUE,"YES",FALSE,"quiet",258,20
"571",4.5,92,TRUE,"YES",TRUE,"quiet",92,67
"572",4.5,13,FALSE,"NO",FALSE,"quiet",13,68
"573",3,188,TRUE,"YES",TRUE,"average",188,114
"574",3.5,146,FALSE,"YES",FALSE,"average",146,32
"580",4.5,82,TRUE,"YES",FALSE,"average",82,47
"582",4.5,974,TRUE,"YES",FALSE,"loud",974,32
"583",3.5,174,TRUE,"YES",FALSE,"average",174,41
"585",4,46,TRUE,"YES",TRUE,"quiet",46,62
"587",4,56,TRUE,"YES",TRUE,"average",56,98
"588",3.5,17,TRUE,"NO",TRUE,"average",17,108.5
"589",3.5,26,TRUE,"YES",TRUE,"average",26,133
"599",4,29,FALSE,"NO",TRUE,"quiet",29,52.5
"600",4,173,TRUE,"YES",TRUE,"average",173,27
"601",3.5,31,FALSE,"YES",TRUE,"average",31,102
"602",4,110,FALSE,"YES",TRUE,"average",110,85
"603",4,108,TRUE,"YES",TRUE,"average",108,105
"605",4,9,TRUE,"NO",TRUE,"average",9,105
"606",3.5,123,FALSE,"YES",TRUE,"average",123,82
"607",4,96,TRUE,"YES",TRUE,"loud",96,67
"609",4,90,TRUE,"YES",TRUE,"quiet",90,29
"610",3.5,19,TRUE,"YES",TRUE,"average",19,92
"614",3.5,41,FALSE,"YES",TRUE,"average",41,84
"615",3,227,TRUE,"YES",TRUE,"average",227,57
"619",3,13,FALSE,"NO",TRUE,"quiet",13,72
"620",3,17,TRUE,"YES",TRUE,"average",17,66
"621",4,128,TRUE,"YES",TRUE,"average",128,74
"623",3,54,TRUE,"YES",TRUE,"average",54,121
"624",3,21,TRUE,"YES",TRUE,"very_loud",21,53
"625",4,52,TRUE,"NO",TRUE,"quiet",52,78
"630",4,788,TRUE,"YES",TRUE,"average",788,107
"633",3,127,TRUE,"YES",TRUE,"average",127,36.5
"635",4.5,206,TRUE,"YES",FALSE,"average",206,79
"641",4.5,96,TRUE,"YES",TRUE,"quiet",96,61.5
"642",3,8,TRUE,"YES",TRUE,"quiet",8,106.5
"643",4.5,49,TRUE,"YES",TRUE,"quiet",49,64
"645",4,12,TRUE,"NO",TRUE,"average",12,86
"646",2.5,13,FALSE,"YES",TRUE,"average",13,27
"648",4,89,TRUE,"YES",TRUE,"average",89,88
"651",2.5,61,FALSE,"YES",TRUE,"average",61,92
"652",4,112,TRUE,"YES",TRUE,"average",112,79.5
"653",4,33,TRUE,"YES",TRUE,"average",33,105
"654",3,47,TRUE,"YES",TRUE,"average",47,79
"658",3.5,31,TRUE,"YES",TRUE,"loud",31,47.5
"660",3.5,60,TRUE,"YES",TRUE,"loud",60,105
"661",3.5,12,TRUE,"YES",TRUE,"loud",12,100
"662",3.5,55,TRUE,"YES",TRUE,"very_loud",55,63
"664",4,50,TRUE,"NO",TRUE,"very_loud",50,23.5
"665",4,524,TRUE,"YES",FALSE,"average",524,94.5
"666",3.5,41,FALSE,"YES",TRUE,"average",41,106.5
"669",4,70,FALSE,"YES",FALSE,"average",70,37
"670",4,35,TRUE,"YES",TRUE,"average",35,77
"675",4.5,301,TRUE,"YES",FALSE,"average",301,31
"681",3,32,TRUE,"YES",TRUE,"average",32,42
"685",4,20,FALSE,"NO",TRUE,"quiet",20,59
"689",4,34,FALSE,"NO",TRUE,"average",34,80
"691",3.5,3,TRUE,"YES",TRUE,"loud",3,96
"697",3.5,18,FALSE,"NO",TRUE,"quiet",18,62
"699",3.5,1380,TRUE,"YES",TRUE,"loud",1380,168
"701",4.5,86,TRUE,"YES",FALSE,"average",86,69.5
"702",4.5,285,FALSE,"YES",TRUE,"average",285,72
"704",3,79,TRUE,"YES",TRUE,"average",79,77
"705",2,37,FALSE,"YES",TRUE,"average",37,93
"708",3,17,FALSE,"YES",TRUE,"average",17,103
"709",3,42,FALSE,"YES",TRUE,"average",42,92
"711",4,4,TRUE,"YES",TRUE,"average",4,107
"718",3.5,6,FALSE,"NO",TRUE,"very_loud",6,90
